#XList	YList	IList
170.199997	1277.099976	45.221554
170.199997	1251.099976	0.000000
170.199997	1225.099976	0.000000
170.199997	1199.099976	0.000000
170.199997	1173.099976	12.397132
170.199997	1147.099976	0.000000
170.199997	1121.099976	0.000000
170.199997	1095.099976	0.425415
170.199997	1069.099976	0.000000
170.199997	1043.099976	0.000000
170.199997	1017.099976	0.000000
170.199997	991.099976	0.000000
170.199997	965.099976	22.273952
170.199997	939.099976	32.780529
170.199997	913.099976	34.774128
170.199997	887.099976	0.000000
170.199997	861.099976	26.186626
170.199997	835.099976	12.317410
170.199997	809.099976	20.314638
170.199997	783.099976	3.997415
170.199997	757.099976	0.000000
170.199997	731.099976	59.912331
170.199997	705.099976	13.988433
170.199997	679.099976	0.000000
170.199997	653.099976	8.524254
170.199997	627.099976	11.575348
170.199997	601.099976	32.766273
170.199997	575.099976	0.000000
170.199997	549.099976	0.000000
170.199997	523.099976	53.941986
170.199997	497.100006	0.000000
170.199997	471.100006	24.920038
170.199997	445.100006	12.191628
170.199997	419.100006	0.000000
170.199997	393.100006	63.986275
170.199997	367.100006	36.408504
170.199997	341.100006	0.000000
170.199997	315.100006	16.692745
170.199997	289.100006	0.000000
170.199997	263.100006	0.000000
196.199997	5411.100098	0.000000
196.199997	5385.100098	46.687691
196.199997	5359.100098	0.000000
196.199997	5333.100098	0.000000
196.199997	5307.100098	13.972567
196.199997	5281.100098	0.000000
196.199997	5255.100098	48.910526
196.199997	5229.100098	143.033890
196.199997	5203.100098	0.000000
196.199997	5177.100098	0.000000
196.199997	5151.100098	0.000000
196.199997	5125.100098	14.190978
196.199997	5099.100098	55.323868
196.199997	5073.100098	6.596277
196.199997	5047.100098	41.682915
196.199997	5021.100098	0.000000
196.199997	4995.100098	0.000000
196.199997	4969.100098	0.000000
196.199997	4943.100098	4.185794
196.199997	4917.100098	0.000000
196.199997	4891.100098	0.012933
196.199997	4865.100098	0.000000
196.199997	4839.100098	49.400169
196.199997	4813.100098	31.225239
196.199997	4787.100098	0.000000
196.199997	4761.100098	12.672639
196.199997	4735.100098	85.427437
196.199997	4709.100098	0.000000
196.199997	4683.100098	2.104504
196.199997	4657.100098	0.000000
196.199997	4631.100098	17.702341
196.199997	4605.100098	0.000000
196.199997	4579.100098	0.000000
